customer_id,loan_id,recurrence_1,recurrence_2
5g96ih73xx988gx34x5x9z70,loan_6790829,1,False
62277yxxyz591z0zixz17z1z,loan_8077236,1,False
618g95ix5z181gh1gy1hgzz1,loan_4219176,1,False
623yy8800z490h7hxi820240,loan_6626701,1,False
6198380399g229638yy6yx41,loan_1938882,1,False
61z40391h0yg1gg72z7x8yi9,loan_5129353,1,False
61841032x1z55i127235420x,loan_5201344,1,False
618y1h81gh9237g2i9347580,loan_3402340,1,False
61g18x03g04g7gh79i13g4hy,loan_8822328,1,False
61z5zx28gi5z66hg2x7hx7hh,loan_4596898,1,False
61zh8h49180x25zy1505ih42,loan_7322971,1,False
622947y6710gg5323x8z26hh,loan_8463931,1,False
61x5x00g95i5gg119x76i9x7,loan_5610552,1,False
5h98g540378x51306ii6871h,loan_9363977,1,False
619348ixi435xh777i67xyi5,loan_0804083,1,False
622zi15g3y1iz92838gg85xh,loan_8346941,1,False
61z55gii7g8hxzx65237zz63,loan_1469471,1,False
6191652x9x5g0zy7yi4269g7,loan_8845784,1,False
61647gg0h9h1177yy1984x31,loan_1293731,1,False
62016342z587zi8z8548h608,loan_2920241,1,False
603y495966h58xi5h098z452,loan_5943976,1,False
6262024ix9y7iig811z31zy1,loan_8140579,1,False
60i701i91h14445z5xh221h1,loan_9869828,1,False
618i369i13z462i81926h5hx,loan_0590986,1,False
62278xg108x56hh96z28y42z,loan_6749125,1,False
621961y888024yi95z23y7hg,loan_8558814,1,False
62536y0z6g940hgiy0z32zgx,loan_0876458,1,False
59y4yg80gggz2h7287375123,loan_5168261,1,False
618y9ghyxzziz81h38z82z0z,loan_3187424,1,False
60518gy7211i18070x352951,loan_2615659,1,False
61959765699h989x7y736529,loan_0116956,1,False
61zh85y9289375g2723452yx,loan_5359567,1,False
620zy6gi234229g7zg000xx8,loan_1954442,1,False
61h8yy25yhz495845948gzz7,loan_9377313,1,False
618h4x0618x6305h2y3i1152,loan_2513652,1,False
626h8y433338072g08yz50g6,loan_1161539,1,False
5730993z50x8786245gy2yx3,loan_8769944,1,False
622x2i35ih36g55g8i71x54y,loan_3493317,1,False
61ix967zi45z9y039499i49g,loan_0262690,1,False
6201862g918579ixyhi6gyy5,loan_4674764,1,False
623x4g9h70hx43y5iz75hxy3,loan_5987096,1,False
618y7h9h6534xg14h3hz4160,loan_3643346,1,False
618g2hixiy5589y846i54xhi,loan_6181195,1,False
6215g44yg095x499i84xzyy0,loan_4652931,1,False
61896z859y83yyyi31z76h8g,loan_0379319,1,False
618hz21hx51ihi19871867iz,loan_3418708,1,False
62087yzhx9yyg076ih473811,loan_7869971,1,False
6193hh89hh06g6zy4i3zz100,loan_3650553,1,False
6198194ihi3i7x91xg16i486,loan_3200204,1,False
60hyxh64495z838215h2x465,loan_4381193,1,False
6195y5i5g8y0ix47791zh4g4,loan_4581997,1,False
61833743hg47z970h0h035xx,loan_7482110,1,False
6235287x02i2236g9x9yg82g,loan_5850447,1,False
609xh38giixz6x5918147976,loan_4500776,1,False
61ggh76265y65h302hy648z0,loan_2689438,1,False
61hi16y19gzy68zgx6309848,loan_1197343,1,False
5yyz854i14789h5xgz6y56y1,loan_2013578,1,False
61yhiy44z08i275x51x70809,loan_1198281,1,False
620z98gzi7100yx07ih5h23y,loan_2792628,1,False
6172x38x9i58y8z7ig2gg11x,loan_0169608,1,False
61759g651z868684xg945x6y,loan_0619498,1,False
618y7gh8gx6y8z3i5328196x,loan_5305046,1,False
623126i2942ii84x15i4h849,loan_9716903,1,False
61h9g28yhzh4315555h55140,loan_7878405,1,False
61z1278155gxzz678g3i990y,loan_9489797,1,False
618zx746586g79z2yih00806,loan_6344885,1,False
61572xyi621z6gx0x0g59h18,loan_6880523,1,False
621yh5y7yh1xxz24108809z8,loan_3892836,1,False
56y5xy684x1z934z2g007g53,loan_2246078,1,False
61y57z0h15x70582059xiiyi,loan_4005358,1,False
6182x079h1708z2g3925yii3,loan_9032552,1,False
618i387343690g13xi3x87i9,loan_9239100,1,False
618y33g34hg2775g5676ggx2,loan_6198844,1,False
61635z63i6yxz9x9i6367z81,loan_2221509,1,False
61h7z7z49i36g65310432x42,loan_6519085,1,False
619470gg3xg2i018y8gh7i5g,loan_4658611,1,False
61z3gz290y1x0003y22gg839,loan_2854423,1,False
61z2x7zg34zg72964xi8g515,loan_3583979,1,False
61i9i19x8xz3444hz9y57085,loan_8763755,1,False
61x6048y178x46g8h9427zgg,loan_7445415,1,False
61z1zxz71ii973hii6xy7i1i,loan_9040331,1,False
5z26i7g27687x79zz2yh09h7,loan_4807009,1,False
618x99gizix5ig90848y7x59,loan_7901911,1,False
62098xzyi0529z6y81z0g0h7,loan_0871968,1,False
5i57z295i75628h9xh181412,loan_0118401,1,False
619gx81995hiyhh38096h1g8,loan_5218146,1,False
