customer_id,loan_id,loanamount,term,disbursed_date,paid_date,paid_any_loan_last,first_loan_3_or_more_terms,recurrence_1,recurrence_2,max_repaid_date,sum_capital_paid,max_installment_duedate
6168805i00gh54446g705187,loan_4373919,1638.12,6,2022-04-29,,1,0,16,True,,0,2022-08-01
616xi74719ix6i9y0zi110h9,loan_2111117,1203.04,6,2022-04-26,,1,0,15,True,,0,2022-08-01
60hx8i683057ix0z5i6h092y,loan_6116208,3190.1,6,2022-04-29,,1,1,11,True,,0,2022-08-01
619gx81995hiyhh38096h1g8,loan_3228503,6225.4473,6,2022-04-30,,1,0,17,True,,0,2022-08-01
619gx81995hiyhh38096h1g8,loan_5549059,6115.21,6,2022-04-26,,1,0,16,True,,0,2022-08-01
60hx8i683057ix0z5i6h092y,loan_8274497,4912.9,6,2022-04-29,,1,1,10,True,,0,2022-08-01
6104z08516298y7i66351y3g,loan_0104867,2691.51,6,2022-04-19,,1,0,11,True,,213.16,2022-07-15
61z588i536xg7z283y9h1i90,loan_4414811,919.8,8,2022-03-15,,1,0,8,True,,0,2022-07-15
60hx8i683057ix0z5i6h092y,loan_5717703,1277.5,6,2022-04-30,,1,1,12,True,,0,2022-08-01
616xi74719ix6i9y0zi110h9,loan_3228293,1177.636,6,2022-04-23,,1,0,14,True,,0,2022-08-01
6170572ghy4965zx92z65299,loan_5613947,6413.05,6,2022-04-25,,1,0,14,True,,0,2022-08-01
61904ggg1581yg3ig93zz924,loan_6083183,6205,1,2022-01-15,2022-01-20,1,0,8,True,2022-01-20,6205,2022-01-31
6170572ghy4965zx92z65299,loan_8895172,7225.54,6,2021-12-31,2022-01-24,1,0,8,True,2022-01-24,7225.54,2022-03-31
619gx81995hiyhh38096h1g8,loan_8370698,3987.9535,2,2022-01-27,2022-02-04,1,0,8,True,2022-01-31,3987.9535,2022-02-28
61904ggg1581yg3ig93zz924,loan_8283951,6205,1,2022-01-27,2022-02-03,1,0,9,True,2022-02-03,6205,2022-02-15
61904ggg1581yg3ig93zz924,loan_7546911,6205,1,2022-01-28,2022-02-03,1,0,10,True,2022-02-03,6205,2022-02-15
6168805i00gh54446g705187,loan_8104849,2018.45,6,2021-12-21,2022-02-15,1,0,9,True,2022-02-09,2018.45,2022-03-15
6170572ghy4965zx92z65299,loan_4526151,6568.54,6,2022-01-27,2022-02-09,1,0,10,True,2022-02-09,6568.54,2022-05-02
6168805i00gh54446g705187,loan_6734443,2469.2542,6,2021-12-09,2022-02-15,1,0,8,True,2022-02-10,2469.2542,2022-03-15
619gx81995hiyhh38096h1g8,loan_1400123,3808.0012,6,2022-01-29,2022-02-11,1,0,10,True,2022-02-11,3808.0012,2022-05-02
619gx81995hiyhh38096h1g8,loan_2994641,4179.6807,6,2022-01-28,2022-02-12,1,0,9,True,2022-02-12,4179.6807,2022-05-02
618zi7ig92z562hxiigzy869,loan_3575484,887.1252,4,2021-12-18,2022-02-15,1,0,8,True,2022-02-15,887.1252,2022-02-15
6168805i00gh54446g705187,loan_0751809,1263.484,6,2022-02-15,2022-02-27,1,0,11,True,2022-02-15,1263.484,2022-05-16
61904ggg1581yg3ig93zz924,loan_6004210,6717.46,1,2022-02-11,2022-02-17,1,0,11,True,2022-02-17,6717.46,2022-02-28
61904ggg1581yg3ig93zz924,loan_1891982,6717.46,1,2022-02-13,2022-02-17,1,0,12,True,2022-02-17,6717.46,2022-02-28
619gx81995hiyhh38096h1g8,loan_3219266,4324.301,6,2022-02-11,2022-03-03,1,0,12,True,2022-03-03,4324.301,2022-05-16
619gx81995hiyhh38096h1g8,loan_6633072,4471.5347,4,2022-02-10,2022-03-04,1,0,11,True,2022-03-04,4471.5347,2022-04-18
618zi7ig92z562hxiigzy869,loan_8913175,1850.404,6,2021-12-18,2022-03-14,1,0,9,True,2022-03-14,1850.404,2022-03-15
6104z08516298y7i66351y3g,loan_0115671,814.096,6,2022-03-10,2022-03-17,1,0,9,True,2022-03-17,814.096,2022-06-15
616xi74719ix6i9y0zi110h9,loan_2569458,1184.571,6,2022-01-07,2022-03-17,1,0,8,True,2022-03-17,1184.571,2022-03-31
61759g651z868684xg945x6y,loan_3871659,485.45,4,2022-03-10,,1,1,8,True,2022-03-31,121.91,2022-05-16
61759g651z868684xg945x6y,loan_4600432,1022,6,2022-03-20,,1,1,9,True,2022-03-31,170.82,2022-06-15
61509y47y0z6759597i71zgy,loan_9021841,2319.94,8,2022-04-05,,1,0,8,True,2022-04-11,273.1003,2022-08-01
61904ggg1581yg3ig93zz924,loan_8270062,6132,1,2022-04-07,2022-04-13,1,0,13,True,2022-04-13,6132,2022-04-18
6168805i00gh54446g705187,loan_4002345,1790.544,6,2022-01-19,2022-04-13,1,0,10,True,2022-04-13,1790.544,2022-04-18
61904ggg1581yg3ig93zz924,loan_5191221,6132,1,2022-04-07,2022-04-13,1,0,14,True,2022-04-13,6132,2022-04-18
616xi74719ix6i9y0zi110h9,loan_8186938,1547.892,6,2022-01-18,2022-04-18,1,0,9,True,2022-04-18,1547.892,2022-04-18
6170572ghy4965zx92z65299,loan_7869736,4671.27,6,2022-03-29,2022-04-22,1,0,12,True,2022-04-22,4671.27,2022-06-30
6170572ghy4965zx92z65299,loan_0699517,4496.216,6,2022-01-24,2022-04-22,1,0,9,True,2022-04-22,4496.216,2022-05-02
6170572ghy4965zx92z65299,loan_0984725,7281.02,6,2022-04-22,,1,0,13,True,2022-04-22,1213.99,2022-07-15
6170572ghy4965zx92z65299,loan_4204052,6402.9322,6,2022-02-10,2022-04-22,1,0,11,True,2022-04-22,6402.9322,2022-05-16
619gx81995hiyhh38096h1g8,loan_7052180,4962.5327,4,2022-03-10,2022-04-25,1,0,14,True,2022-04-24,4962.5327,2022-05-16
619gx81995hiyhh38096h1g8,loan_0959627,5311.3121,6,2022-02-12,2022-04-30,1,0,13,True,2022-04-24,5311.3121,2022-05-16
616xi74719ix6i9y0zi110h9,loan_4728487,892.0308,6,2022-02-23,2022-04-25,1,0,10,True,2022-04-25,892.0308,2022-05-31
619gx81995hiyhh38096h1g8,loan_4058730,5910.81,4,2022-04-25,2022-04-26,1,0,15,True,2022-04-26,5910.81,2022-06-30
61771182465yxy1488z65848,loan_0259610,1646.88,8,2022-03-06,,1,1,9,True,2022-04-28,808.8984,2022-06-30
61771182465yxy1488z65848,loan_4456420,545.31,8,2022-03-18,,1,1,10,True,2022-04-28,231.8115,2022-07-15
61771182465yxy1488z65848,loan_9502129,546.77,4,2022-03-20,,1,1,11,True,2022-04-28,429.24,2022-05-16
61904ggg1581yg3ig93zz924,loan_7382146,6132,1,2022-04-23,2022-04-28,1,0,15,True,2022-04-28,6132,2022-05-16
5h68z25h9gz0xxiiy1g51926,loan_3629996,1168,6,2022-03-26,,1,1,8,True,2022-04-28,389.82,2022-06-30
61771182465yxy1488z65848,loan_0767012,721.97,8,2022-03-01,,1,1,8,True,2022-04-28,462.82,2022-06-30
6168805i00gh54446g705187,loan_0319558,3577,6,2022-02-27,,1,0,14,True,2022-04-29,2385.64,2022-05-31
6189yx1g55z984z8x4yh6216,loan_5421220,4525.416,4,2022-03-23,,1,0,8,True,2022-04-29,3394.5,2022-05-16
6168805i00gh54446g705187,loan_2220962,1224.648,6,2022-02-19,,1,0,13,True,2022-04-29,1022.146,2022-05-16
60hx8i683057ix0z5i6h092y,loan_4719018,2925.84,6,2022-04-15,,1,1,8,True,2022-04-29,487.64,2022-07-15
60hx8i683057ix0z5i6h092y,loan_4675741,3662.775,6,2022-04-15,,1,1,9,True,2022-04-29,611.01,2022-07-15
6168805i00gh54446g705187,loan_5947731,1370.648,6,2022-02-17,,1,0,12,True,2022-04-29,1142.45,2022-05-16
6168805i00gh54446g705187,loan_0217524,1861.5,6,2022-04-03,,1,0,15,True,2022-04-29,620.5,2022-06-30
6176ih1yy273z4yixz86z270,loan_9778571,410.26,4,2022-03-13,,1,1,9,True,2022-04-30,308.79,2022-05-16
6169x9509i175731i16y38i9,loan_1638950,837.31,6,2022-04-27,,1,1,8,True,2022-04-30,140.16,2022-08-01
618y5i0i07y78hy44zx0g15z,loan_9600212,550.42,4,2022-04-11,,1,0,9,True,2022-04-30,137.97,2022-06-15
6176ih1yy273z4yixz86z270,loan_5927005,421.94,4,2022-02-27,2022-04-30,1,1,8,True,2022-04-30,421.94,2022-05-02
61z12835878466hi225g4z77,loan_9001546,876,6,2022-03-22,,1,0,8,True,2022-04-30,438,2022-06-15
618y5i0i07y78hy44zx0g15z,loan_5565669,553.7561,4,2022-03-05,2022-04-30,1,0,8,True,2022-04-30,553.7561,2022-05-02
616xi74719ix6i9y0zi110h9,loan_2899788,1272.3608,6,2022-03-30,,1,0,11,True,2022-05-01,424.86,2022-06-30
616xi74719ix6i9y0zi110h9,loan_5385615,1134.785,6,2022-04-08,,1,0,12,True,2022-05-01,189.8,2022-07-15
616xi74719ix6i9y0zi110h9,loan_6573795,1353.4273,6,2022-04-13,,1,0,13,True,2022-05-01,225.57,2022-07-15
6187185h3i9zzxh9gi9908gx,loan_0909153,1997.28,6,2022-04-07,,1,1,9,True,2022-05-02,665.76,2022-06-30
6104z08516298y7i66351y3g,loan_1401231,1133.544,6,2022-03-18,,1,0,10,True,2022-05-02,567.21,2022-06-15
6187185h3i9zzxh9gi9908gx,loan_3668834,1386.27,8,2022-03-25,,1,1,8,True,2022-05-02,346.75,2022-08-01
6104z08516298y7i66351y3g,loan_8624580,1703.9149,6,2022-03-03,,1,0,8,True,2022-05-02,1138.8,2022-05-31
5yigy818h83hyxhg2901gy2h,loan_7712395,2557.92,6,2022-02-08,,0,0,1,False,,0,2022-05-16
62369y9iyhyzx837613i976y,loan_5553774,4160.27,8,2022-03-19,,0,0,1,False,,0,2022-07-15
616hg2g23299yi002i16g316,loan_1444052,729.27,4,2021-10-18,,0,0,1,False,,0,2021-12-15
