customer_id,loan_id,application_date,term,disbursed_date,loanamount,paid_date,is_disbursed
61x74g43ii0y9y146igy243i,loan_6322705,23/03/22 19:51,4,23/03/22,687.66,NA,TRUE
61g913g8592z043x1hh15139,loan_1026812,01/04/22 17:17,6,01/04/22,3226.6,NA,TRUE
6250y231ig523zy2xh12z981,loan_4626720,08/04/22 18:31,6,08/04/22,1824.27,NA,TRUE
6255g387ygiiy2g0x7i0y6g4,loan_4634481,12/04/22 12:24,8,12/04/22,5765.54,NA,TRUE
623x5y28xh338x4x29458955,loan_2636846,15/04/22 22:01,1,15/04/22,292,16/04/22,TRUE
6158504zh9h0hgzy95xxyi5y,loan_4802486,18/12/21 5:13,4,18/12/21,903.74,17/02/22,TRUE
615i92858x10zz1x82267zi2,loan_8708311,15/11/21 12:03,6,15/11/21,2664.5,11/02/22,TRUE
6213h68iz0xyh96h1h096yyx,loan_5215769,21/02/22 12:14,8,21/02/22,1582.64,NA,TRUE
5xx43y836z1gz594805x9052,loan_9117643,18/12/21 0:09,6,18/12/21,2600.0775,NA,TRUE
61g6z08xh5xxz3568gh2zi94,loan_0838558,12/12/21 19:32,8,12/12/21,3649.27,NA,TRUE
61z6g90z9993h93747y75ii6,loan_3184544,13/01/22 17:10,6,13/01/22,758.616,19/03/22,TRUE
61x847h4250699yig0gxgh0z,loan_5949411,19/01/22 11:18,8,19/01/22,826.36,NA,TRUE
625i00ig1gxx5i9i03x14i64,loan_5261351,19/04/22 15:08,6,19/04/22,759.2,NA,TRUE
616725g810gy2xh6787h3049,loan_6899214,20/10/21 22:19,1,20/10/21,262.07,30/10/21,TRUE
622576hhy1g12h9645170667,loan_6243228,06/03/22 21:25,6,06/03/22,1497.303,NA,TRUE
616xi74719ix6i9y0zi110h9,loan_2111117,26/04/22 16:28,6,26/04/22,1203.04,NA,TRUE
61i6yi225g368i5xg357g0x7,loan_2856072,30/01/22 11:47,6,30/01/22,1954.9765,29/04/22,TRUE
61z28566y59ix35812iiz06h,loan_5343977,27/11/21 13:22,8,27/11/21,1284.07,31/03/22,TRUE
61z5z0gh2zy3y3622ig47zy8,loan_8187005,29/11/21 22:33,4,29/11/21,5839.27,16/01/22,TRUE
626hzyi066491hh5403z18xi,loan_7752530,30/04/22 16:41,6,30/04/22,4144.94,NA,TRUE
6191475xghy7zhz19g7247yz,loan_1005740,14/11/21 11:30,8,14/11/21,3321.0255,12/03/22,TRUE
5h71h075358gy36yx53i8xiy,loan_2973674,25/11/21 19:34,8,25/11/21,5839.27,29/03/22,TRUE
61i5iy716151143158101g71,loan_6177002,21/03/22 14:44,4,21/03/22,845.34,NA,TRUE
6191934xy0154zi0g32gxzy6,loan_8817935,05/01/22 11:11,4,05/01/22,1503.8,28/02/22,TRUE
6168790x1g91h928889yyy98,loan_2189309,14/10/21 13:38,4,14/10/21,342.37,NA,TRUE
618g4z63ig48i4ig30zz8ig2,loan_8828912,10/11/21 17:03,8,10/11/21,5620.343,14/03/22,TRUE
61772xyx9i30130711230509,loan_0023966,18/11/21 16:34,12,18/11/21,3791.2477,NA,TRUE
614g8093z5gix2yzgg4zz694,loan_6355092,22/04/22 15:54,8,22/04/22,1143.18,NA,TRUE
621gz5h0y1xy46ggh63zyx46,loan_1278068,24/03/22 13:17,6,24/03/22,1472.8188,NA,TRUE
616883063hi2i5h75yg9i86x,loan_4322806,28/11/21 22:24,8,28/11/21,6071.41,01/04/22,TRUE
618g399h7gg04937i0669iiz,loan_1710643,15/11/21 17:37,1,15/11/21,983.0691,18/11/21,TRUE
621g0zh44hi65zx0g70ghyih,loan_9613554,13/03/22 3:05,8,13/03/22,2262.27,NA,TRUE
6222yh41y7h300igg3yi48hh,loan_2019970,22/03/22 20:43,6,22/03/22,1167.27,NA,TRUE
618zg5537736i47208hy1h31,loan_4209687,30/11/21 10:38,8,30/11/21,4934.3255,08/03/22,TRUE
615ixh7379y6izz5yz4xgi7g,loan_3537439,15/03/22 0:01,4,15/03/22,455.52,20/04/22,TRUE
6260z646312g40x8332z877i,loan_4246912,20/04/22 19:48,6,20/04/22,1094.27,NA,TRUE
6233i1g7hz86hh1g48yx755x,loan_4442878,17/03/22 20:43,6,17/03/22,1148.436,NA,TRUE
618g5yg4x99igy35gy1zg489,loan_4663244,09/11/21 23:46,6,09/11/21,1331.1404,11/01/22,TRUE
62086254giii3676g0173i68,loan_3057848,21/03/22 16:31,6,21/03/22,2955.77,NA,TRUE
62179117yyih8gyxx13ii89g,loan_7534319,24/02/22 8:46,8,24/02/22,1167.27,NA,TRUE
61yg4y7ihg414x62gy62h123,loan_4382931,28/12/21 11:42,8,28/12/21,5328.27,29/04/22,TRUE
6194g76217xxx016y2237663,loan_0130371,23/11/21 17:07,8,23/11/21,2140.944,NA,TRUE
61y9i4xii7h3i09y2gy02zy3,loan_8168882,27/12/21 11:16,6,27/12/21,2039.2842,23/03/22,TRUE
618y9499ih0h6g5i90gx2257,loan_3620863,10/11/21 21:57,6,10/11/21,2831.67,14/02/22,TRUE
5yz368hxg2x61hh78h6yz16i,loan_4781982,11/11/21 15:38,8,11/11/21,8029.27,16/03/22,TRUE
6190916z2z781y2hz0x40gh4,loan_7249880,20/03/22 14:25,2,20/03/22,547.062,18/04/22,TRUE
606x44170347g6z0hzgh1667,loan_7983997,20/04/22 3:15,8,20/04/22,2297.31,NA,TRUE
61918g23167zxz412642h6y9,loan_8231535,14/11/21 16:18,4,14/11/21,555.53,NA,TRUE
618y77579yz645134h8830z2,loan_6046123,02/04/22 1:16,2,02/04/22,506.62,02/05/22,TRUE
61h25h8y9zii3x03935996zz,loan_1441832,02/01/22 20:21,6,02/01/22,970.389,31/03/22,TRUE
61z2i0hz5hz91iy3zi7x947h,loan_8944747,01/04/22 12:00,6,01/04/22,1091.35,NA,TRUE
62024hx5i38y1229359g0xz3,loan_3335550,08/03/22 12:23,8,08/03/22,2408.27,NA,TRUE
6168805i00gh54446g705187,loan_4002345,19/01/22 17:43,6,19/01/22,1790.544,13/04/22,TRUE
618i0030h54584z85477zh16,loan_4937584,24/11/21 1:18,12,24/11/21,6569.27,NA,TRUE
6191900g318g6yz261x8g59y,loan_3770479,24/04/22 13:46,6,24/04/22,6234.93,NA,TRUE
614y07110h664xi3098h1i1i,loan_4535638,14/02/22 1:36,8,NA,9343.27,NA,FALSE
62183484y70g4g60g32110y7,loan_0962231,08/03/22 12:26,6,08/03/22,1641.843,NA,TRUE
61i408xy70783z734467x0g6,loan_4289458,28/01/22 9:17,4,28/01/22,392.521,19/03/22,TRUE
61yh070764yy4gh82y48y19z,loan_5507697,29/12/21 19:10,8,29/12/21,1080.4,01/05/22,TRUE
617i5hi658x758723h8yhx89,loan_4009240,12/11/21 13:17,6,12/11/21,1417.806,11/02/22,TRUE
615iyz839yi061716hi34y20,loan_8198110,06/12/21 19:18,8,06/12/21,8029.27,NA,TRUE
618562g337565yx8y2i13h08,loan_9463057,07/12/21 7:07,6,07/12/21,1414.74,25/02/22,TRUE
61i20zgiizgi02210ix460i1,loan_9430384,26/01/22 21:30,6,26/01/22,1092.81,01/04/22,TRUE
618xx677yy496x3479688007,loan_7313151,30/12/21 14:21,6,NA,7883.343,NA,FALSE
58ix5g04zxz074xi51h87h3z,loan_2342522,30/11/21 21:17,6,30/11/21,1738.13,NA,TRUE
6170572ghy4965zx92z65299,loan_5613947,25/04/22 21:22,6,25/04/22,6413.05,NA,TRUE
61x58xhxg426081i46596x17,loan_7880285,25/04/22 16:12,2,25/04/22,360.693,NA,TRUE
601x0ig057535979953zz07x,loan_3411697,14/12/21 15:00,12,14/12/21,6569.27,NA,TRUE
6258x4i63gg20zy6749iy66x,loan_4981947,14/04/22 22:22,6,14/04/22,3481.443,NA,TRUE
622576hhy1g12h9645170667,loan_7881057,27/04/22 22:44,4,27/04/22,561.37,NA,TRUE
618gx1y0y06i1x1423i0222x,loan_6382142,05/04/22 8:56,6,05/04/22,1159.459,NA,TRUE
61g15259zy4937z2i9xxx66x,loan_3357012,08/12/21 18:48,4,08/12/21,946.08,NA,TRUE
6191578y48x27hyy832h92h7,loan_1866598,29/11/21 23:16,8,29/11/21,1593.371,NA,TRUE
618xx677yy496x3479688007,loan_7813621,18/12/21 5:22,2,NA,1422.04,NA,FALSE
61yz72yh543g82x82yi05485,loan_0321487,28/12/21 18:18,4,28/12/21,528.155,24/02/22,TRUE
6179gggi72yiiy269396049x,loan_2789164,09/02/22 13:21,6,09/02/22,7142.977,NA,TRUE
61x60y9g26gx61616z27g33i,loan_4823248,17/01/22 18:41,6,17/01/22,1695.6075,21/03/22,TRUE
6261i3x30i5x8z2yi36xihh4,loan_7794725,21/04/22 20:06,8,21/04/22,3269.67,NA,TRUE
61i468h61i5871z7x7ig964x,loan_8083496,28/01/22 17:22,6,28/01/22,2565.585,01/05/22,TRUE
6213xg316050z11gx3943605,loan_3190769,21/02/22 14:27,2,21/02/22,2627.27,NA,TRUE
5x0x5564hgi5yy9x86i2i2y8,loan_6540616,19/03/22 14:41,1,19/03/22,1021.27,01/04/22,TRUE
61y632xx8661677i8x4ig927,loan_6032141,24/12/21 15:06,6,24/12/21,1532.27,05/03/22,TRUE
6218xygi6828x750y6655581,loan_8954605,25/02/22 9:21,8,25/02/22,3795.27,NA,TRUE
618h4h8h866511947i246g9y,loan_3309554,11/11/21 15:26,6,11/11/21,1151.5604,13/02/22,TRUE
61xg5535hg264hh6iyx9x4xy,loan_4469974,21/01/22 18:52,6,21/01/22,446.03,25/03/22,TRUE
62045xg422878h580145x83h,loan_6317331,09/02/22 19:29,6,09/02/22,5474.27,01/05/22,TRUE
61z2yy5xy9y99xg4958hgxyy,loan_4373126,28/11/21 8:12,6,28/11/21,1664.1226,06/03/22,TRUE
618gh3400089ggz6i2132402,loan_9697875,12/11/21 14:27,2,12/11/21,1100.4604,12/12/21,TRUE
61839zg4ih735yx5553353yz,loan_8400285,04/11/21 2:32,6,04/11/21,794.24,NA,TRUE
62645h7y8z8yxi2g74201z55,loan_6938622,23/04/22 15:34,6,23/04/22,2369.58,NA,TRUE
5yi6z89x33y37h837y4yx67g,loan_0509564,28/04/22 13:37,6,NA,726.35,NA,FALSE
616hgg7x5y9z8zz671558yz6,loan_4711056,06/02/22 11:48,4,06/02/22,608.82,29/03/22,TRUE
61z588i536xg7z283y9h1i90,loan_5314566,29/11/21 21:46,4,29/11/21,1680.971,15/02/22,TRUE
6170572ghy4965zx92z65299,loan_0699517,24/01/22 19:09,6,24/01/22,4496.216,22/04/22,TRUE
61gx407z719y7y535634i609,loan_3851643,15/04/22 19:00,6,15/04/22,3868.27,NA,TRUE
6170572ghy4965zx92z65299,loan_3972132,30/11/21 12:20,6,30/11/21,4718.0338,31/12/21,TRUE
62089i354i783g1i63i01x5x,loan_1352745,13/02/22 0:03,6,13/02/22,1068.72,NA,TRUE
622526yy9y7857h6937ihz1x,loan_4131817,06/03/22 15:25,6,06/03/22,4964,NA,TRUE
617i18g1g1z476x9zx16z73z,loan_8411370,31/10/21 17:00,6,31/10/21,435.08,NA,TRUE
61773402620z09321i9g76g4,loan_5288842,25/10/21 17:47,4,25/10/21,904.4627,02/01/22,TRUE
61x9252z0i0h5ix98z88yg5i,loan_0961771,23/02/22 16:04,8,23/02/22,1164.35,NA,TRUE
61945i0180z3gg154h6z4317,loan_3384692,16/11/21 20:49,8,16/11/21,3734.096,04/03/22,TRUE
61x4829xhz0g9g8h0h87h5y7,loan_3119402,16/01/22 16:07,4,16/01/22,8599.4,23/01/22,TRUE
618y68x76y1g817yx2xy0x88,loan_7988069,10/11/21 20:46,8,10/11/21,948.27,05/03/22,TRUE
61691730609i26h0z6hy91h3,loan_0794252,28/01/22 6:10,6,NA,5109.27,NA,FALSE
61gzy15234izgzx46085y2x4,loan_6356520,02/02/22 10:02,6,02/02/22,1386.27,02/05/22,TRUE
58xghx0y1243higg61xz3iix,loan_4205518,10/11/21 2:17,8,10/11/21,923.9464,17/11/21,TRUE
58zi0hg834y3z45i24ix2761,loan_1404105,12/11/21 10:54,12,12/11/21,3700.6255,NA,TRUE
623z4zzzix72iz34x18z3yih,loan_1001774,22/03/22 17:19,8,22/03/22,5058.17,NA,TRUE
61gh7ygigg7h094459388i2h,loan_5902083,18/12/21 0:16,6,18/12/21,1167.27,15/03/22,TRUE
56i0y1074x1z933i52000084,loan_4512195,10/11/21 16:02,4,10/11/21,3558.2755,17/01/22,TRUE
60hx8i683057ix0z5i6h092y,loan_9524825,17/01/22 12:56,6,17/01/22,3379.9,14/04/22,TRUE
6215g44yg095x499i84xzyy0,loan_4652931,02/03/22 9:57,8,02/03/22,6328.37,NA,TRUE
61846y0hy14z2x1gxh57770z,loan_5819932,18/11/21 23:43,8,18/11/21,1908.8259,15/03/22,TRUE
61xhx9424zx336z2xgyi8379,loan_8079105,29/04/22 20:56,4,29/04/22,702.99,NA,TRUE
6104z08516298y7i66351y3g,loan_8564705,26/11/21 0:09,8,26/11/21,1033.6289,28/02/22,TRUE
609xh38giixz6x5918147976,loan_4644204,09/03/22 11:02,6,09/03/22,1837.41,NA,TRUE
61899g3h7yg7zi34gy6327x8,loan_9027720,08/11/21 22:57,4,08/11/21,734.7669,06/01/22,TRUE
61yh44i336zx8z838i15y29h,loan_0468065,30/12/21 0:00,4,30/12/21,597.87,11/02/22,TRUE
619xi7377g81x370584g4959,loan_1363599,18/03/22 21:31,6,18/03/22,1175.008,NA,TRUE
620g198803xy392h0y7ix884,loan_3098224,14/02/22 21:10,6,14/02/22,2167.224,NA,TRUE
593xx6410z9y29g07h857729,loan_9243176,03/01/22 1:27,4,03/01/22,676.71,08/03/22,TRUE
61yg7z46xxx6yx63y046x8hg,loan_6971704,01/02/22 14:16,6,01/02/22,1095,NA,TRUE
626y4y37zg4z31248953zy05,loan_6474099,29/04/22 16:36,4,29/04/22,6569.27,NA,TRUE
61hi9741977y41yz1h271h6z,loan_5981184,13/01/22 15:49,4,NA,692.77,NA,FALSE
6170572ghy4965zx92z65299,loan_0984725,22/04/22 12:04,6,22/04/22,7281.02,NA,TRUE
61z1y00i0yxz2718z7830598,loan_6640807,27/11/21 0:17,4,27/11/21,6204.27,31/01/22,TRUE
620xii074y39hyg7z9681307,loan_2418426,17/03/22 22:20,6,17/03/22,3284.27,NA,TRUE
621h0407h2375gh8903zg97i,loan_4577505,28/02/22 11:34,NA,NA,5291.77,NA,FALSE
618y5g3318170i6xg0xi5i7x,loan_8250488,29/04/22 15:15,6,29/04/22,1743.24,NA,TRUE
62619gh90z652y3yg7x9268g,loan_8679228,21/04/22 13:45,4,21/04/22,6261.21,NA,TRUE
61y2962ih914h5i93555i9iy,loan_6704468,21/12/21 21:55,6,21/12/21,2852.4385,22/01/22,TRUE
6165z0i07ghh51y27467y7x3,loan_3125217,10/03/22 10:42,6,10/03/22,5765.54,NA,TRUE
618hxg600591yi914zy82x8i,loan_3878676,16/03/22 16:02,6,16/03/22,2540.4,NA,TRUE
61i436gh82ihx96yi444x386,loan_2519799,28/01/22 18:10,6,28/01/22,4777.2295,NA,TRUE
61392z79i612gi385i5ix2gi,loan_7694191,02/12/21 17:56,6,02/12/21,2830.94,28/02/22,TRUE
61z93i4gg4107729gg2z02h0,loan_1829701,26/04/22 16:30,6,26/04/22,6313.04,NA,TRUE
625x274g5675xgi028h038xg,loan_9441466,21/04/22 17:57,8,21/04/22,802.27,NA,TRUE
61735053z96giig9i5597zy9,loan_1539826,22/10/21 18:59,6,22/10/21,1050.032,20/01/22,TRUE
618gghi6xzhh73035zi7z454,loan_9039787,10/11/21 6:41,8,10/11/21,5328.27,15/03/22,TRUE
623z2h78ix6h0y6yh3i6yg0y,loan_5770769,22/03/22 14:17,6,22/03/22,5474.27,NA,TRUE
61z2hi5iy1z14z3yxgy52g97,loan_7512609,27/11/21 20:28,6,27/11/21,1072.9613,22/02/22,TRUE
618hy092y60g514h970z183h,loan_1206300,28/01/22 13:23,NA,NA,5620.27,NA,FALSE
618yyy8588830z73hy683y86,loan_7741904,16/03/22 16:58,NA,NA,1460,NA,FALSE
6185ggz1389xi0x07y98i9zx,loan_1301538,05/11/21 17:28,4,05/11/21,1204.5,02/01/22,TRUE
617x451y6i8hi5g8x2510i40,loan_9995830,03/12/21 15:07,NA,NA,773.07,NA,FALSE
618gghi6xzhh73035zi7z454,loan_3402780,19/02/22 14:55,NA,NA,4598.27,NA,FALSE
61zyizx1ghygx7iy7hi8756h,loan_3254987,13/04/22 22:21,NA,NA,6205,NA,FALSE
61z6yxi48gi54x588yhg3531,loan_3330338,08/03/22 0:58,NA,NA,5328.27,NA,FALSE
61940822z1876721290g96g4,loan_0271509,16/11/21 13:36,NA,NA,10944.9995,NA,FALSE
6219307777z37ig95990i22y,loan_7987039,18/03/22 13:01,NA,NA,5109.27,NA,FALSE
61gy216084g583yi59zx8156,loan_9462317,23/01/22 19:40,NA,NA,1767.33,NA,FALSE
61yg947x9i49h8ghg33ixg6z,loan_0552587,10/02/22 14:18,NA,NA,2190,NA,FALSE
609x6709x5i464h442i76g9y,loan_4171457,27/11/21 5:29,NA,NA,8408.87,NA,FALSE
6121y24g75xx079ihxiz798h,loan_6899583,23/12/21 7:10,NA,NA,2919.27,NA,FALSE
6191360y001362h676370hx6,loan_6164141,24/11/21 11:49,NA,NA,4817.27,NA,FALSE
62424z1ihzi48042401x8z38,loan_2095239,07/04/22 12:21,NA,NA,1548.33,NA,FALSE
621gi103z3x2h0ig8402yigy,loan_0523080,27/02/22 16:05,NA,NA,8029.27,NA,FALSE
620xii074y39hyg7z9681307,loan_7758144,21/02/22 21:02,NA,NA,1254.432,NA,FALSE
61y4g06i3z69g2gy053382xx,loan_5645618,22/01/22 12:50,NA,NA,938.78,NA,FALSE
61y0x95z396194h42y145h53,loan_4076503,27/01/22 8:29,NA,NA,794.24,NA,FALSE
618y604g708zhz69h86g4g7i,loan_0292315,10/02/22 23:59,NA,NA,2617.05,NA,FALSE
6228zx3569y8x5hy50g04iy5,loan_6560387,28/03/22 5:02,NA,NA,1386.27,NA,FALSE
615908582851z864ziigh96h,loan_7638413,24/10/21 17:43,NA,NA,4576.37,NA,FALSE
6167zz8x23867x648hh47zi1,loan_0045418,20/11/21 16:41,NA,NA,5320.24,NA,FALSE
6159269y8hgg9i121y725392,loan_6437501,12/03/22 23:48,NA,NA,800.08,NA,FALSE
618y9hh9h1190x090537g957,loan_7961592,03/02/22 20:20,NA,NA,5985.27,NA,FALSE
618g608hii5585g30y6zx72i,loan_9536057,14/02/22 14:41,8,14/02/22,1181.5488,NA,TRUE
61986g3191i7yggxg1x784h6,loan_1465418,19/11/21 23:33,8,19/11/21,636.56,NA,TRUE
618y3i9y0h9y64825123z4zh,loan_3967786,27/01/22 21:42,6,27/01/22,5985.27,02/05/22,TRUE
61787x7x4549g2601y89igi8,loan_4109861,26/10/21 17:17,4,26/10/21,543.85,NA,TRUE
623i9967gg06529y4588y78y,loan_5775848,26/03/22 16:53,8,26/03/22,4014.2627,NA,TRUE
6226g2i0h14xy48h4x5425i5,loan_6333509,07/03/22 19:35,6,07/03/22,5839.27,NA,TRUE
6172265zi09ihg0yhg0iiyh1,loan_1756810,06/11/21 11:27,6,06/11/21,1459.27,30/01/22,TRUE
61917gxi1734527g070g48g0,loan_3275193,14/11/21 15:13,1,14/11/21,3083.7755,23/11/21,TRUE
60x010g26448g67gx80hy499,loan_7183441,31/03/22 18:35,NA,NA,919.8,NA,FALSE
5h7882hh97938090i556yh9x,loan_9002465,16/11/21 13:08,NA,NA,619.259,NA,FALSE
618i0030h54584z85477zh16,loan_7268469,12/11/21 20:43,NA,NA,6582.41,NA,FALSE
618y5i0i07y78hy44zx0g15z,loan_1397122,23/02/22 17:03,NA,NA,855.56,NA,FALSE
619x715g6z2xh47h1iy4z30h,loan_3482497,26/03/22 1:03,NA,NA,4269.77,NA,FALSE
61g7h490095hgy704g033hh4,loan_4276845,08/01/22 16:04,NA,NA,4269.77,NA,FALSE
616xi74719ix6i9y0zi110h9,loan_6535232,25/04/22 23:37,NA,NA,1612.57,NA,FALSE
61994zigz98x6y893583hixy,loan_3617286,30/11/21 12:30,NA,NA,7327.7327,NA,FALSE
61y215yg10zx3z7i0677z75i,loan_4979550,06/02/22 18:35,NA,NA,1614.5191,NA,FALSE
618562g337565yx8y2i13h08,loan_7755845,17/11/21 13:23,NA,NA,692.77,NA,FALSE
61959869gz5x6iz446zh26g0,loan_1654709,15/03/22 23:56,NA,NA,2149.485,NA,FALSE
617992yzy87hy2x5z46gi618,loan_7864160,20/01/22 10:01,NA,NA,1896.54,NA,FALSE
5hy9x5968y0x09y969gy34xy,loan_0729124,01/04/22 19:20,4,01/04/22,656.27,NA,TRUE
618i0030h54584z85477zh16,loan_0651151,23/11/21 23:49,NA,NA,6058.27,NA,FALSE
61466h7586460x82047z9yi9,loan_6404841,08/11/21 9:50,NA,NA,6231.28,NA,FALSE
61y4y3485hyii32xh3x21643,loan_2369984,20/03/22 9:29,NA,NA,3638.2762,NA,FALSE
61x0i23798y00ygzi3izx4g4,loan_8787642,15/02/22 23:29,NA,NA,10511.343,NA,FALSE
60ii774763z9405664227xxg,loan_9237314,08/11/21 15:29,NA,NA,7867.94,NA,FALSE
601x0ig057535979953zz07x,loan_4974912,22/01/22 20:00,NA,NA,7503.67,NA,FALSE
