loan_id,installment_id,installment_number,installment_duedate,repaid_date,capital_due,capital_paid,interests_paid
loan_6035837,8z780223805z698301805hy424g35y6g,1,2022-05-16,NA,184.65349999999998,0,0
loan_6035837,8z780223805z698301805hy424g35y6y,2,2022-05-31,NA,211.54670000000002,0,0
loan_6035837,8z780223805z698301805hy424i35y72,8,2022-08-31,NA,274.7355,0,0
loan_6035837,8z780223805z698301805hy424g35y6h,3,2022-06-15,NA,217.06550000000001,0,0
loan_6035837,8z780223805z698301805hy424i35y71,7,2022-08-15,NA,241.4621,0,0
loan_6035837,8z780223805z698301805hy424g35y6x,4,2022-06-30,NA,222.7376,0,0
loan_6035837,8z780223805z698301805hy424i35y6i,5,2022-07-15,NA,228.5484,0,0
loan_6035837,8z780223805z698301805hy424i35y70,6,2022-08-01,NA,231.9137,0,0
loan_1066204,8z7802gh7y9hg5ih017y9i39230x463x,3,2021-11-30,NA,113.88,0,0
loan_1066204,8z7802gh7y9hg5ih017y9i39230x463y,1,2021-11-01,NA,113.88,0,0
loan_1066204,8z7802gh7y9hg5ih017y9i39230x463h,2,2021-11-16,NA,113.88,0,0
loan_1066204,8z7802gh7y9hg5ih017y9i39230x463i,4,2021-12-15,NA,112.785,0,0
loan_4819181,8z7802ig7h28i819017h2g73y9802xg2,4,2022-01-17,2022-02-01,182.5,182.5,58
loan_4819181,8z7802ig7h28i819017h2g73y9742xzi,1,2021-11-30,2021-11-30,182.5,182.5,0
loan_4819181,8z7802ig7h28i819017h2g73y9802xg5,7,2022-02-28,NA,0.0876,0,0
loan_4819181,8z7802ig7h28i819017h2g73y9742xg0,2,2021-12-15,2021-12-18,182.5,182.5,58
loan_4819181,8z7802ig7h28i819017h2g73y9802xg3,5,2022-01-31,2022-02-07,182.5,182.5,58
loan_4819181,8z7802ig7h28i819017h2g73y9802xg6,8,2022-03-15,NA,0,0,0
loan_4819181,8z7802ig7h28i819017h2g73y9742xg1,3,2021-12-31,2022-01-16,182.5,182.5,58
loan_4819181,8z7802ig7h28i819017h2g73y9802xg4,6,2022-02-15,2022-02-07,545.31,545.31,0
loan_3178906,8z7802657i364075017i37138zz63h63,3,2022-04-18,NA,0,0,0
loan_3178906,8z7802657i364075017i37138zz63h64,4,2022-05-02,NA,0,0,0
loan_3178906,8z7802657i364075017i37138z843h62,2,2022-03-31,2022-03-29,765.77,765.77,0
loan_3178906,8z7802657i364075017i37138z843h61,1,2022-03-15,2022-03-01,730,730,0
loan_2746283,8z7802h17h7g5h98017h7h7hg6843508,4,2022-01-31,2022-01-30,137.24,137.24,0
loan_2746283,8z7802h17h7g5h98017h7h7hg6z23509,5,2022-02-15,2022-02-14,137.24,137.24,0
loan_2746283,8z7802h17h7g5h98017h7h7hg6843507,3,2022-01-17,2022-01-14,137.24,137.24,0
loan_2746283,8z7802h17h7g5h98017h7h7hg6843505,1,2021-12-15,2021-12-16,137.24,137.24,0
loan_2746283,8z7802h17h7g5h98017h7h7hg6843506,2,2021-12-31,2021-12-31,140.16,140.16,0
loan_2746283,8z7802h17h7g5h98017h7h7hg6z2350z,6,2022-02-28,2022-02-16,131.4,131.4,0
loan_7661286,8z7802yy7h66gzzi017h67hy473g188y,1,2021-12-15,2021-12-14,1233.7,1233.7,0
loan_7661286,8z7802yy7h66gzzi017h67hy473g188h,2,2021-12-31,2021-12-30,1233.2255,1233.2255,0
loan_5640770,8z7801h57ig215gi017ig33480gh558g,3,2022-05-02,2022-04-22,194.91,194.91,0
loan_5640770,8z7801h57ig215gi017ig33480h0558x,6,2022-06-15,NA,193.45,0,0
loan_5640770,8z7801h57ig215gi017ig33480gh558z,2,2022-04-18,2022-04-22,194.91,194.91,58
loan_5640770,8z7801h57ig215gi017ig33480gh5589,1,2022-03-31,2022-03-25,194.91,194.91,0
loan_5640770,8z7801h57ig215gi017ig33480h0558h,5,2022-05-31,NA,194.91,0,0
