customer_id,loan_id,application_date,term,disbursed_date,loanamount,paid_date,is_disbursed
61x74g43ii0y9y146igy243i,loan_6322705,2022-03-23 19:51:00,4.0,2022/03/23,687.66,,True
61g913g8592z043x1hh15139,loan_1026812,2022-04-01 17:17:00,6.0,2022/04/01,3226.6,,True
6250y231ig523zy2xh12z981,loan_4626720,2022-04-08 18:31:00,6.0,2022/04/08,1824.27,,True
6255g387ygiiy2g0x7i0y6g4,loan_4634481,2022-04-12 12:24:00,8.0,2022/04/12,5765.54,,True
623x5y28xh338x4x29458955,loan_2636846,2022-04-15 22:01:00,1.0,2022/04/15,292.0,2022/04/16,True
6158504zh9h0hgzy95xxyi5y,loan_4802486,2021-12-18 05:13:00,4.0,2021/12/18,903.74,2022/02/17,True
615i92858x10zz1x82267zi2,loan_8708311,2021-11-15 12:03:00,6.0,2021/11/15,2664.5,2022/02/11,True
6213h68iz0xyh96h1h096yyx,loan_5215769,2022-02-21 12:14:00,8.0,2022/02/21,1582.64,,True
5xx43y836z1gz594805x9052,loan_9117643,2021-12-18 00:09:00,6.0,2021/12/18,2600.0775,,True
61g6z08xh5xxz3568gh2zi94,loan_0838558,2021-12-12 19:32:00,8.0,2021/12/12,3649.27,,True
61z6g90z9993h93747y75ii6,loan_3184544,2022-01-13 17:10:00,6.0,2022/01/13,758.616,2022/03/19,True
61x847h4250699yig0gxgh0z,loan_5949411,2022-01-19 11:18:00,8.0,2022/01/19,826.36,,True
625i00ig1gxx5i9i03x14i64,loan_5261351,2022-04-19 15:08:00,6.0,2022/04/19,759.2,,True
616725g810gy2xh6787h3049,loan_6899214,2021-10-20 22:19:00,1.0,2021/10/20,262.07,2021/10/30,True
622576hhy1g12h9645170667,loan_6243228,2022-03-06 21:25:00,6.0,2022/03/06,1497.303,,True
616xi74719ix6i9y0zi110h9,loan_2111117,2022-04-26 16:28:00,6.0,2022/04/26,1203.04,,True
61i6yi225g368i5xg357g0x7,loan_2856072,2022-01-30 11:47:00,6.0,2022/01/30,1954.9765,2022/04/29,True
61z28566y59ix35812iiz06h,loan_5343977,2021-11-27 13:22:00,8.0,2021/11/27,1284.07,2022/03/31,True
61z5z0gh2zy3y3622ig47zy8,loan_8187005,2021-11-29 22:33:00,4.0,2021/11/29,5839.27,2022/01/16,True
626hzyi066491hh5403z18xi,loan_7752530,2022-04-30 16:41:00,6.0,2022/04/30,4144.94,,True
6191475xghy7zhz19g7247yz,loan_1005740,2021-11-14 11:30:00,8.0,2021/11/14,3321.0255,2022/03/12,True
5h71h075358gy36yx53i8xiy,loan_2973674,2021-11-25 19:34:00,8.0,2021/11/25,5839.27,2022/03/29,True
61i5iy716151143158101g71,loan_6177002,2022-03-21 14:44:00,4.0,2022/03/21,845.34,,True
6191934xy0154zi0g32gxzy6,loan_8817935,2022-01-05 11:11:00,4.0,2022/01/05,1503.8,2022/02/28,True
6168790x1g91h928889yyy98,loan_2189309,2021-10-14 13:38:00,4.0,2021/10/14,342.37,,True
618g4z63ig48i4ig30zz8ig2,loan_8828912,2021-11-10 17:03:00,8.0,2021/11/10,5620.343,2022/03/14,True
61772xyx9i30130711230509,loan_0023966,2021-11-18 16:34:00,12.0,2021/11/18,3791.2477,,True
614g8093z5gix2yzgg4zz694,loan_6355092,2022-04-22 15:54:00,8.0,2022/04/22,1143.18,,True
621gz5h0y1xy46ggh63zyx46,loan_1278068,2022-03-24 13:17:00,6.0,2022/03/24,1472.8188,,True
616883063hi2i5h75yg9i86x,loan_4322806,2021-11-28 22:24:00,8.0,2021/11/28,6071.41,2022/04/01,True
618g399h7gg04937i0669iiz,loan_1710643,2021-11-15 17:37:00,1.0,2021/11/15,983.0691,2021/11/18,True
621g0zh44hi65zx0g70ghyih,loan_9613554,2022-03-13 03:05:00,8.0,2022/03/13,2262.27,,True
6222yh41y7h300igg3yi48hh,loan_2019970,2022-03-22 20:43:00,6.0,2022/03/22,1167.27,,True
618zg5537736i47208hy1h31,loan_4209687,2021-11-30 10:38:00,8.0,2021/11/30,4934.3255,2022/03/08,True
615ixh7379y6izz5yz4xgi7g,loan_3537439,2022-03-15 00:01:00,4.0,2022/03/15,455.52,2022/04/20,True
6260z646312g40x8332z877i,loan_4246912,2022-04-20 19:48:00,6.0,2022/04/20,1094.27,,True
